index,cutoff,pseudotexts,texts,difference
global,0.1,0.8047222222222222,0.9535163293929072,0.14879410717068497
global,0.2,0.5952777777777778,0.9178521338409137,0.3225743560631359
global,0.30000000000000004,0.3488888888888889,0.847926267281106,0.49903737839221707
global,0.4,0.18944444444444444,0.7663794830695252,0.5769350386250808
global,0.5,0.08861111111111111,0.6690042075736325,0.5803930964625215
global,0.6,0.028888888888888888,0.5037066720096173,0.47481778312072837
global,0.7000000000000001,0.010833333333333334,0.34301743137647767,0.3321840980431443
global,0.8,0.005833333333333334,0.2300140252454418,0.22418069191210846
global,0.9,0.0019444444444444444,0.11260268483269886,0.11065824038825442
local,0.1,0.20333333333333334,0.4912843117611701,0.2879509784278368
local,0.2,0.04972222222222222,0.25686235223402126,0.20714013001179904
local,0.30000000000000004,0.008888888888888889,0.11420557002604688,0.10531668113715799
local,0.4,0.0038888888888888888,0.060508916048888,0.056620027159999115
local,0.5,0.0019444444444444444,0.035664195551993585,0.03371975110754914
local,0.6,2.777777777777778e-4,0.015227409336806252,0.014949631559028474
local,0.7000000000000001,2.777777777777778e-4,0.006211180124223602,0.005933402346445824
local,0.8,2.777777777777778e-4,0.0036064916850330597,0.003328713907255282
local,0.9,2.777777777777778e-4,0.0030054097375275496,0.0027276319597497717
pairwise,0.1,0.01,0.2650771388499299,0.2550771388499299
pairwise,0.2,2.777777777777778e-4,0.009817671809256662,0.009539894031478884
pairwise,0.30000000000000004,0,0.0010018032458425166,0.0010018032458425166
pairwise,0.4,0,2.003606491685033e-4,2.003606491685033e-4
pairwise,0.5,0,2.003606491685033e-4,2.003606491685033e-4
pairwise,0.6,0,0,0
pairwise,0.7000000000000001,0,0,0
pairwise,0.8,0,0,0
pairwise,0.9,0,0,0
