genre,index,type,Median,Mean,SD
berlitz,global,e,0.0012874007348038776,0.0012465137765926555,3.633349347487086e-4
biomed,global,e,9.594203286459972e-4,9.459209083170088e-4,2.3916575798441688e-4
icic,global,e,0.002852744225582276,0.0032165611774589062,0.0013740917588016992
media,global,e,0.00203207547495081,0.0021921490243970937,5.498026098945726e-4
plos,global,e,0.0017942311424938315,0.0016583888772506352,5.420053604489699e-4
pseudotext,global,e,0.001253458423468909,0.0012265036347442798,1.8498012871813813e-4
slate,global,e,0.0018455408542941984,0.001977600560009221,0.00104878068639645
berlitz,local,e,0.002698377450398742,0.002797564474357393,8.496838300240047e-4
biomed,local,e,0.002330409390392546,0.0024905012652434396,0.001050864704041462
icic,local,e,0.004126523386034256,0.005307737314720452,0.004388842662464873
media,local,e,0.002581034499606731,0.0033655990691559947,0.002416855102450569
plos,local,e,0.002987980882168377,0.0028983946868325152,0.0012469030748554029
pseudotext,local,e,0.0024811313552086803,0.0026733996819407672,8.282580345990025e-4
slate,local,e,0.001962279507883575,0.002226858000639529,0.001233624243888875
berlitz,pairwise,e,0.002357504274377597,0.0023280190103619506,5.263709504383154e-4
biomed,pairwise,e,0.0018120069713181686,0.001977567441123522,8.621468344452325e-4
icic,pairwise,e,0.004110884101485646,0.005334962963173253,0.0030841869323794896
media,pairwise,e,0.0036781871271275163,0.004110203591131821,0.00144258039465155
plos,pairwise,e,0.0026636300379234,0.0028945249317055693,0.0011251772885740594
pseudotext,pairwise,e,0.0023496331445135737,0.002365931475735306,3.8127296859413875e-4
slate,pairwise,e,0.003121201723800991,0.0030783634922887464,0.00142149137000964
berlitz,global,v,0.47962422506597635,0.48185385498308264,0.057064812441785434
biomed,global,v,0.7054863915807592,0.7113111665599335,0.04057339826797295
icic,global,v,0.33765441293574283,0.32279417109139236,0.08558410086767612
media,global,v,0.42035309380775987,0.4167823506099255,0.06453680749858347
plos,global,v,0.5830399976404499,0.569989773854208,0.06224603768789999
pseudotext,global,v,0.2473891498202413,0.24836382511474253,0.01755282870040119
slate,global,v,0.2535080410801632,0.2673201625725474,0.04465344668726428
berlitz,local,v,0.07444295977033394,0.07716632168010047,0.01735497843617688
biomed,local,v,0.18110702187368427,0.18027538813626307,0.04400059460955512
icic,local,v,0.14519578664799254,0.13935713071877665,0.05546726617993029
media,local,v,0.10186686135834742,0.1132922389380017,0.03837646781874517
plos,local,v,0.14958667837789102,0.15679000902083837,0.035605042480954384
pseudotext,local,v,0.050269572301241544,0.05169601911161473,0.009434749611797705
slate,local,v,0.0772496599238525,0.07290516952646464,0.03100108214466644
berlitz,pairwise,v,0.0521298374846689,0.04998261588572339,0.008896995170387235
biomed,pairwise,v,0.09646507913777116,0.09194890745009467,0.02274927555667306
icic,pairwise,v,0.10218380514599001,0.11757106733386143,0.04516026500802877
media,pairwise,v,0.07459020576323827,0.07804177467436096,0.019253993222961077
plos,pairwise,v,0.08561705120560201,0.09649145286189537,0.022914232507117993
pseudotext,pairwise,v,0.03581444652369056,0.03666306287711704,0.007175582386019022
slate,pairwise,v,0.05612878368874308,0.06373348267563708,0.02097424795816608
